employee_id,age,years_experience,education_level,job_role,city_tier,performance_score,num_skills,remote_work,annual_salary_usd
EMP0001,29,9,Master,Software Engineer,1,2.4,3,0,106343.31
EMP0002,27,6,Bachelor,ML Engineer,3,2.1,5,1,82852.6
EMP0003,36,13,Master,Data Analyst,1,4.1,7,1,142019.59
EMP0004,,23,High School,DevOps,1,3.1,7,1,159972.8
EMP0005,24,1,High School,DevOps,1,3.7,12,1,94126.86
EMP0006,24,3,Master,Data Analyst,1,4.6,8,1,109682.21
EMP0007,51,29,Bachelor,Product Manager,2,2.6,6,0,155103.12
EMP0008,37,16,PhD,DevOps,2,5,12,,146648.13
EMP0009,42,22,Bachelor,Data Analyst,2,3.2,3,0,141824.61
EMP0010,42,21,PhD,DevOps,3,3.4,6,0,134712.86
EMP0011,37,13,Master,QA Engineer,3,3.3,11,1,111491.26
EMP0012,30,6,PhD,Data Analyst,1,4.6,4,0,126697.88
EMP0013,49,25,High School,DevOps,2,3.8,9,1,163662.4
EMP0014,22,2,Master,QA Engineer,2,2.3,8,,83564.49
EMP0015,51,31,Master,ML Engineer,1,3.5,3,1,180993.54
EMP0016,34,13,Master,Software Engineer,3,4.9,10,0,121806.45
EMP0017,60,38,PhD,Data Analyst,1,4.8,6,0,217067.54
EMP0018,27,7,PhD,Data Analyst,3,4.3,4,1,107120.75
EMP0019,57,36,Master,ML Engineer,3,3.3,5,0,173668.79
EMP0020,45,22,PhD,Data Analyst,1,2.7,7,0,149272.46
EMP0021,59,35,Bachelor,ML Engineer,1,2,12,0,186546.06
EMP0022,43,23,Bachelor,Product Manager,3,3.5,10,0,151011.18
EMP0023,58,34,PhD,Software Engineer,2,4.4,5,0,190084.35
EMP0024,49,26,PhD,QA Engineer,1,4,12,0,180630.27
EMP0025,25,2,Master,Data Analyst,1,2.6,10,1,101821.22
EMP0026,51,30,High School,DevOps,3,2.3,12,0,155414.3
EMP0027,27,6,Bachelor,DevOps,2,3.4,8,0,99934.27
EMP0028,46,24,PhD,Product Manager,2,4.1,10,1,166025.87
EMP0029,100,10,Master,Software Engineer,1,3.7,10,0,126182.54
EMP0030,59,36,Bachelor,Data Analyst,3,2.2,4,0,162427.65
EMP0031,60,40,Bachelor,DevOps,1,4.8,11,0,213998.04
EMP0032,27,4,Master,Product Manager,1,4,7,0,107058
EMP0033,38,15,Bachelor,QA Engineer,3,2.9,7,0,118363.65
EMP0034,58,38,High School,ML Engineer,1,3.5,4,1,192776.02
EMP0035,26,5,Master,Product Manager,1,3.3,10,1,103777.75
EMP0036,55,35,Master,QA Engineer,1,4.8,4,1,190974.53
EMP0037,29,9,Bachelor,Product Manager,2,3.8,7,0,106402.81
EMP0038,54,31,Master,Data Analyst,1,3.9,6,0,174164.52
EMP0039,22,0,Bachelor,QA Engineer,2,2.5,9,1,79992.48
EMP0040,31,7,High School,Product Manager,3,3.7,8,0,91922.41
EMP0041,24,2,Master,Data Analyst,2,2.6,5,0,80092.74
EMP0042,48,24,Bachelor,Software Engineer,1,4.9,4,1,169475.27
EMP0043,23,2,Master,DevOps,3,4.6,5,1,93558.2
